1, 6.99361, 6.99357, 400, 5, 50, 100,1, 16.7865
1, 6.66346, 6.66344, 400, 5, 50, 100,1, 12.4584
1, 7.29291, 7.29289, 400, 5, 50, 100,1, 9.13989
1, 7.65669, 7.65668, 400, 5, 50, 100,1, 8.48149
1, 7.29987, 7.29985, 400, 5, 50, 100,1, 22.6145
1, 7.57649, 7.57644, 400, 5, 50, 100,1, 7.51495
1, 6.09367, 6.09366, 400, 5, 50, 100,1, 15.1795
2, 5.45503, 5.45501, 400, 5, 50, 100,1, 18.1548
2, 6.32024, 6.32022, 400, 5, 50, 100,1, 7.95576
2, 5.30024, 5.30022, 400, 5, 50, 100,1, 15.6397
2, 5.72775, 5.7277, 400, 5, 50, 100,1, 7.03832
2, 5.40839, 5.40837, 400, 5, 50, 100,1, 9.12584
2, 5.44021, 5.44019, 400, 5, 50, 100,1, 9.79672
2, 5.8279, 5.82788, 400, 5, 50, 100,1, 9.984
4, 6.05537, 6.05533, 400, 5, 50, 100,1, 7.40456
4, 4.26016, 4.26011, 400, 5, 50, 100,1, 12.6576
4, 6.19759, 6.19757, 400, 5, 50, 100,1, 23.1836
4, 4.72021, 4.72016, 400, 5, 50, 100,1, 7.55476
4, 4.57023, 4.57018, 400, 5, 50, 100,1, 12.2181
4, 4.91171, 4.91169, 400, 5, 50, 100,1, 9.9573
4, 5.34646, 5.34644, 400, 5, 50, 100,1, 8.37223
8, 4.3855, 4.38548, 400, 5, 50, 100,1, 7.77089
8, 3.39634, 3.39629, 400, 5, 50, 100,1, 7.29258
8, 3.55863, 3.5586, 400, 5, 50, 100,1, 12.1474
8, 5.2892, 5.28918, 400, 5, 50, 100,1, 7.51482
8, 4.5383, 4.53828, 400, 5, 50, 100,1, 32.5625
8, 4.91029, 4.91027, 400, 5, 50, 100,1, 8.29668
8, 3.64325, 3.64323, 400, 5, 50, 100,1, 8.22557
16, 3.22822, 3.22817, 400, 5, 50, 100,1, 7.34591
16, 4.189, 4.18897, 400, 5, 50, 100,1, 18.2518
16, 3.61515, 3.61512, 400, 5, 50, 100,1, 8.00801
16, 3.46907, 3.46902, 400, 5, 50, 100,1, 7.22197
16, 3.66656, 3.66654, 400, 5, 50, 100,1, 219.74
16, 3.47806, 3.47803, 400, 5, 50, 100,1, 7.68943
